epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,6255.91,1.3562,1.196,1.42807,0.70682,0.62764,0.7518,0.39139,1.65201,1.23617,1.63688,0.000122992,0.000122992,0.000122992
41,6385.46,1.32566,1.16231,1.40421,0.80082,0.71906,0.80256,0.42648,1.62339,0.99833,1.62762,0.0001173,0.0001173,0.0001173
42,6544.6,1.32243,1.1603,1.41296,0.85479,0.77711,0.83347,0.45192,1.56028,0.85354,1.58513,0.000111607,0.000111607,0.000111607
43,6809.79,1.29475,1.09374,1.36415,0.84892,0.72666,0.81581,0.44339,1.50482,0.89736,1.54204,0.000105915,0.000105915,0.000105915
44,6936.71,1.29603,1.10367,1.38828,0.67634,0.73763,0.77056,0.44382,1.54749,1.001,1.56047,0.000100222,0.000100222,0.000100222
45,7129.51,1.30409,1.04392,1.37416,0.79661,0.73862,0.82548,0.45801,1.56819,0.88485,1.60087,9.453e-05,9.453e-05,9.453e-05
46,7243.19,1.27869,1.04816,1.36106,0.86526,0.78954,0.85477,0.47472,1.543,0.83717,1.5604,8.88375e-05,8.88375e-05,8.88375e-05
47,7370.66,1.27692,1.07492,1.38675,0.86392,0.78218,0.86775,0.47156,1.53432,0.86507,1.57381,8.3145e-05,8.3145e-05,8.3145e-05
48,7560.62,1.27129,1.07913,1.37213,0.71835,0.74241,0.77458,0.40851,1.58858,1.14925,1.59123,7.74525e-05,7.74525e-05,7.74525e-05
49,8104.11,1.26862,1.03874,1.36836,0.76516,0.64341,0.74522,0.40352,1.55313,1.30448,1.57627,7.176e-05,7.176e-05,7.176e-05
50,8306.08,1.22797,1.00241,1.32659,0.85087,0.59939,0.67147,0.39102,1.50789,1.01756,1.55646,6.60675e-05,6.60675e-05,6.60675e-05
51,8684.35,1.17491,0.63508,1.37598,0.85652,0.82633,0.84309,0.47778,1.51778,0.83866,1.57328,6.0375e-05,6.0375e-05,6.0375e-05
52,8837.26,1.12564,0.58123,1.34944,0.85546,0.80051,0.84364,0.47525,1.50361,0.84121,1.57377,5.46825e-05,5.46825e-05,5.46825e-05
53,8970.33,1.10173,0.56082,1.33442,0.86035,0.7975,0.85837,0.49282,1.54415,0.82374,1.6032,4.899e-05,4.899e-05,4.899e-05
54,9119.73,1.06438,0.53945,1.30118,0.79912,0.81876,0.8542,0.4954,1.4415,0.79759,1.50399,4.32975e-05,4.32975e-05,4.32975e-05
55,9346.9,1.03865,0.53183,1.28838,0.80203,0.85025,0.86662,0.51524,1.42097,0.77843,1.48662,3.7605e-05,3.7605e-05,3.7605e-05
56,9542.9,1.0455,0.51072,1.2898,0.87705,0.80615,0.86625,0.51129,1.41016,0.79794,1.47783,3.19125e-05,3.19125e-05,3.19125e-05
57,9665,0.99968,0.48786,1.24199,0.87191,0.79975,0.87015,0.50104,1.44551,0.78338,1.51265,2.622e-05,2.622e-05,2.622e-05
58,9777.01,0.99563,0.49436,1.24204,0.86917,0.78876,0.86696,0.50953,1.40597,0.76373,1.48581,2.05275e-05,2.05275e-05,2.05275e-05
59,9899.04,1.00113,0.49869,1.26189,0.86528,0.79823,0.86723,0.52227,1.37923,0.76031,1.46711,1.4835e-05,1.4835e-05,1.4835e-05
60,10006.9,0.98291,0.48319,1.25071,0.87502,0.79595,0.86714,0.52019,1.39892,0.75792,1.482,9.1425e-06,9.1425e-06,9.1425e-06
