epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.479,2.62219,7.13252,2.68889,0.00771,0.11076,0.01434,0.0033,2.16367,6.32638,2.37112,0.000112386,0.000112386,0.000112386
2,383.568,1.92748,4.53109,2.01915,0.58489,0.12222,0.09334,0.03605,1.99679,3.25249,2.15932,0.000223634,0.000223634,0.000223634
3,528.348,1.89387,3.68089,1.9516,0.52218,0.21059,0.1348,0.05215,2.20133,2.99148,2.22091,0.000331088,0.000331088,0.000331088
4,680.103,1.79149,3.27668,1.86034,0.52832,0.18935,0.16004,0.07466,2.05525,3.06722,2.05045,0.000327922,0.000327922,0.000327922
5,803.582,1.82245,2.9973,1.83665,0.46625,0.20979,0.25588,0.1217,2.09434,2.65705,2.05496,0.00032223,0.00032223,0.00032223
6,915.611,1.77012,2.751,1.80208,0.50132,0.24035,0.29878,0.15228,1.92455,2.68567,1.91302,0.000316537,0.000316537,0.000316537
7,1067.16,1.74645,2.59169,1.78178,0.48252,0.39775,0.4138,0.21576,1.87333,2.3477,1.90878,0.000310845,0.000310845,0.000310845
8,1179.76,1.761,2.51275,1.78988,0.56858,0.43215,0.52335,0.24586,1.93691,2.05276,1.92767,0.000305152,0.000305152,0.000305152
9,1292.92,1.77076,2.35634,1.74737,0.54136,0.41345,0.49044,0.27037,1.76229,1.90521,1.7556,0.00029946,0.00029946,0.00029946
10,1411.91,1.67507,2.25,1.71074,0.74189,0.5241,0.64253,0.35151,1.74416,1.57429,1.74927,0.000293768,0.000293768,0.000293768
11,1551.39,1.64683,2.09083,1.6852,0.70891,0.52438,0.566,0.29562,1.83097,1.80108,1.83173,0.000288075,0.000288075,0.000288075
12,1667.56,1.69986,2.06852,1.6862,0.67237,0.53303,0.58837,0.31848,1.77974,1.6894,1.78988,0.000282382,0.000282382,0.000282382
13,1785.08,1.64518,1.91488,1.65753,0.64849,0.56592,0.63075,0.34132,1.68866,1.55018,1.7205,0.00027669,0.00027669,0.00027669
14,1894.77,1.64725,1.96612,1.65061,0.61534,0.57617,0.63389,0.3411,1.77035,1.61797,1.80661,0.000270997,0.000270997,0.000270997
15,1992.13,1.62765,1.88096,1.63544,0.76338,0.57246,0.62535,0.32942,1.88035,1.46762,1.87744,0.000265305,0.000265305,0.000265305
16,2115.28,1.64379,1.84644,1.63785,0.78968,0.66304,0.67253,0.38337,1.73537,1.45136,1.70909,0.000259612,0.000259612,0.000259612
17,2209.65,1.58652,1.75288,1.62285,0.713,0.57949,0.6479,0.3266,1.79413,1.42174,1.79298,0.00025392,0.00025392,0.00025392
18,2316.14,1.60699,1.77317,1.61469,0.63336,0.63542,0.67669,0.39302,1.62934,1.32804,1.6687,0.000248228,0.000248228,0.000248228
19,2448.1,1.57839,1.70336,1.5913,0.48021,0.53184,0.60002,0.29206,1.95306,1.77368,1.91102,0.000242535,0.000242535,0.000242535
20,2687.66,1.58872,1.69239,1.60781,0.68173,0.56703,0.64392,0.39198,1.57077,1.4755,1.60811,0.000236843,0.000236843,0.000236843
21,2887.25,1.53972,1.58715,1.58343,0.80869,0.67988,0.74052,0.40057,1.6535,1.14633,1.65993,0.00023115,0.00023115,0.00023115
22,3123.97,1.58003,1.64257,1.59836,0.80181,0.66587,0.75089,0.38449,1.6717,1.24142,1.66952,0.000225457,0.000225457,0.000225457
23,3359.61,1.53757,1.5972,1.56887,0.69676,0.6063,0.66288,0.33967,1.66887,1.37579,1.66165,0.000219765,0.000219765,0.000219765
24,3605.46,1.52819,1.52142,1.53518,0.75648,0.68668,0.74885,0.43551,1.51816,1.17203,1.55128,0.000214073,0.000214073,0.000214073
25,3823.28,1.51844,1.47059,1.53916,0.80799,0.68045,0.75902,0.44131,1.57641,1.08914,1.57894,0.00020838,0.00020838,0.00020838
26,4112.44,1.48267,1.44201,1.51046,0.79222,0.72947,0.76562,0.40949,1.77912,1.15529,1.76997,0.000202687,0.000202687,0.000202687
27,4249.76,1.47352,1.42315,1.52439,0.75173,0.69401,0.75703,0.43872,1.59292,1.11005,1.59906,0.000196995,0.000196995,0.000196995
28,4496.47,1.47918,1.44358,1.53539,0.75698,0.69251,0.76095,0.41374,1.58894,1.05404,1.6123,0.000191303,0.000191303,0.000191303
29,4720.37,1.47307,1.34523,1.48725,0.71833,0.56176,0.69974,0.39168,1.66816,1.39831,1.66989,0.00018561,0.00018561,0.00018561
30,4881.08,1.44763,1.26413,1.49218,0.77501,0.66264,0.78455,0.45022,1.59603,1.04836,1.59556,0.000179917,0.000179917,0.000179917
31,5014.83,1.43563,1.30722,1.47412,0.70913,0.74657,0.80204,0.44566,1.57047,1.08533,1.60938,0.000174225,0.000174225,0.000174225
32,5176.34,1.46896,1.33514,1.49897,0.657,0.6976,0.73161,0.38005,1.59566,1.15831,1.6201,0.000168532,0.000168532,0.000168532
33,5286.02,1.42263,1.28671,1.45899,0.77323,0.77824,0.82624,0.44031,1.61477,0.93433,1.65402,0.00016284,0.00016284,0.00016284
34,5420.45,1.39099,1.26147,1.45565,0.77208,0.77971,0.78509,0.44594,1.58398,0.99182,1.62026,0.000157147,0.000157147,0.000157147
35,5574.37,1.39687,1.27108,1.45049,0.82579,0.75684,0.79916,0.46812,1.49457,0.94425,1.54452,0.000151455,0.000151455,0.000151455
36,5687.58,1.40742,1.23754,1.45936,0.72937,0.69524,0.72723,0.38422,1.63067,1.23521,1.62998,0.000145762,0.000145762,0.000145762
37,5803.78,1.42173,1.26368,1.45084,0.7707,0.82801,0.81053,0.4575,1.57293,0.98249,1.57423,0.00014007,0.00014007,0.00014007
38,5916.43,1.34707,1.16896,1.43876,0.74914,0.82129,0.86213,0.4583,1.59732,0.96664,1.60064,0.000134377,0.000134377,0.000134377
39,6079.92,1.39271,1.17871,1.44933,0.7894,0.79144,0.8105,0.46558,1.52298,0.94426,1.57198,0.000128685,0.000128685,0.000128685
