epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4748.45,0.88948,0.52668,1.11345,0.90346,0.90327,0.95494,0.64459,1.08588,0.52149,1.17554,0.000111607,0.000111607,0.000111607
43,4874.99,0.88112,0.53199,1.09645,0.8497,0.94022,0.95585,0.67397,1.04208,0.51669,1.16713,0.000105915,0.000105915,0.000105915
44,4979.99,0.87124,0.5299,1.10519,0.84345,0.97927,0.98273,0.65843,1.08787,0.49126,1.20361,0.000100222,0.000100222,0.000100222
45,5097.6,0.86991,0.48925,1.0958,0.87476,0.94212,0.97038,0.66541,1.08537,0.48195,1.1991,9.453e-05,9.453e-05,9.453e-05
46,5201.35,0.85708,0.50661,1.08568,0.88935,0.94121,0.96883,0.65894,1.08989,0.49919,1.19104,8.88375e-05,8.88375e-05,8.88375e-05
47,5305.9,0.86731,0.51474,1.10114,0.80962,0.94665,0.96645,0.69513,0.98058,0.47354,1.14767,8.3145e-05,8.3145e-05,8.3145e-05
48,5401.54,0.86726,0.49479,1.09841,0.92583,0.88114,0.96148,0.65105,1.09137,0.4908,1.18429,7.74525e-05,7.74525e-05,7.74525e-05
49,5500.95,0.86158,0.495,1.0998,0.87774,0.93001,0.96252,0.67586,1.05189,0.49295,1.17245,7.176e-05,7.176e-05,7.176e-05
50,5621.88,0.84651,0.46632,1.07653,0.9047,0.94148,0.94853,0.65263,1.08094,0.49858,1.19291,6.60675e-05,6.60675e-05,6.60675e-05
51,5740.31,0.7458,0.37197,1.05879,0.92237,0.87214,0.89815,0.61543,1.06736,0.49152,1.19707,6.0375e-05,6.0375e-05,6.0375e-05
52,5836.42,0.73265,0.359,1.05196,0.89555,0.90711,0.94516,0.65655,1.0689,0.50327,1.19691,5.46825e-05,5.46825e-05,5.46825e-05
53,5954.68,0.72674,0.35092,1.04271,0.82958,0.94617,0.94732,0.66167,1.06893,0.50772,1.19348,4.899e-05,4.899e-05,4.899e-05
54,6077.29,0.71062,0.34105,1.02176,0.89991,0.93116,0.94702,0.65145,1.07783,0.50141,1.19327,4.32975e-05,4.32975e-05,4.32975e-05
55,6184.77,0.70567,0.33758,1.01865,0.90149,0.92359,0.94673,0.66822,1.04453,0.48969,1.18151,3.7605e-05,3.7605e-05,3.7605e-05
56,6303.12,0.69299,0.33077,1.01566,0.92528,0.91784,0.95653,0.66432,1.04184,0.48705,1.18401,3.19125e-05,3.19125e-05,3.19125e-05
57,6412.97,0.67773,0.32769,1.00826,0.92442,0.91595,0.94733,0.65795,1.06297,0.4923,1.19202,2.622e-05,2.622e-05,2.622e-05
58,6530.55,0.68129,0.32347,1.01043,0.89984,0.92916,0.94591,0.65985,1.03949,0.49424,1.17163,2.05275e-05,2.05275e-05,2.05275e-05
59,6651.95,0.6876,0.32394,1.01915,0.8887,0.93735,0.94402,0.64805,1.06464,0.50065,1.18365,1.4835e-05,1.4835e-05,1.4835e-05
60,6757.18,0.6804,0.31706,1.00781,0.88436,0.93229,0.94407,0.65381,1.05796,0.49144,1.18444,9.1425e-06,9.1425e-06,9.1425e-06
